 Procedimentos hospitalares do SUS - por local de residência - Brasil
Taxa mortalidade por Unidade da Federação e Ano processamento
Período:Jan/2011-Mar/2021
"Unidade da Federação";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";2,30;2,50;2,52;2,61;2,79;3,21;3,10;2,86;2,87;3,82;6,33;2,93
"12 Acre";2,91;2,43;2,45;2,32;3,04;3,07;3,03;3,28;3,41;4,33;4,71;3,03
"13 Amazonas";2,40;2,42;2,27;2,10;2,44;3,06;3,05;3,11;3,31;5,23;9,93;3,16
"14 Roraima";2,13;2,41;1,87;1,94;2,30;2,70;2,67;3,02;3,21;4,19;8,17;2,85
"15 Pará";1,80;1,94;2,03;2,11;2,29;2,43;2,44;2,39;2,40;3,46;3,75;2,34
"16 Amapá";2,43;2,75;2,63;2,75;2,94;2,85;2,65;2,75;2,85;4,43;4,57;2,92
"17 Tocantins";2,31;2,46;2,52;2,62;3,04;3,35;3,23;3,11;3,35;4,42;4,19;2,96
"21 Maranhão";1,59;1,89;2,11;2,18;2,33;2,50;2,44;2,32;2,44;3,71;4,51;2,39
"22 Piauí";1,97;2,30;2,50;2,69;2,98;3,02;2,86;2,83;2,98;3,96;4,33;2,82
"23 Ceará";2,95;3,15;3,25;3,25;3,69;3,83;4,03;3,81;3,82;5,18;5,40;3,73
"24 Rio Grande do Norte";3,37;3,53;3,32;3,63;3,69;4,16;3,95;3,79;4,03;4,83;5,49;3,87
"25 Paraíba";3,58;3,84;4,16;4,06;4,12;4,83;4,66;4,69;4,89;6,48;7,71;4,55
"26 Pernambuco";3,50;3,56;3,91;3,97;4,36;4,82;4,38;4,29;4,35;5,81;6,69;4,33
"27 Alagoas";3,30;3,60;3,71;3,71;4,22;4,28;4,12;3,74;3,87;4,90;5,74;3,97
"28 Sergipe";3,35;3,48;3,79;3,42;4,31;5,11;4,76;5,01;5,25;6,45;6,31;4,54
"29 Bahia";2,79;3,03;3,24;3,26;3,54;3,66;3,68;3,60;3,75;4,92;5,48;3,56
"31 Minas Gerais";4,28;4,30;4,35;4,26;4,47;4,64;4,72;4,59;4,64;5,62;7,00;4,63
"32 Espírito Santo";3,44;3,32;3,42;3,34;3,68;3,81;3,82;3,71;3,73;5,27;6,32;3,83
"33 Rio de Janeiro";5,70;5,92;6,25;6,27;6,57;6,80;6,66;6,79;6,80;8,90;9,91;6,75
"35 São Paulo";4,71;4,75;4,86;4,88;5,00;5,16;5,03;5,02;5,04;6,59;7,77;5,16
"41 Paraná";3,63;3,59;3,83;3,92;3,98;4,05;3,78;3,81;3,84;5,07;7,05;4,01
"42 Santa Catarina";3,96;3,84;3,94;4,00;4,03;4,17;4,09;4,14;4,14;5,20;7,01;4,22
"43 Rio Grande do Sul";4,60;4,59;4,80;4,74;4,79;5,15;5,04;5,22;5,19;6,20;8,54;5,10
"50 Mato Grosso do Sul";3,53;3,54;3,57;3,57;3,70;3,90;3,97;3,89;3,84;5,01;6,22;3,90
"51 Mato Grosso";3,33;3,21;3,42;3,46;3,60;3,65;3,65;3,66;3,69;4,59;5,56;3,66
"52 Goiás";2,69;2,76;2,85;3,05;3,25;3,43;3,32;3,33;3,48;4,70;5,75;3,33
"53 Distrito Federal";3,12;3,10;3,10;3,29;3,46;3,72;3,33;3,30;3,14;4,32;4,68;3,43
"Total";3,71;3,80;3,94;3,97;4,18;4,38;4,29;4,26;4,31;5,63;6,89;4,30
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
